id,name,bbx1,bby1,bbx2,bby2,group,distance(km),Dateiname,duration,duration_in_motion(min),max_speed(km/h),elevation_climbed,max_height,avg_speed,avg_speed_in_motion,bbox_perimeter,start_end_gap,filename,max_asc,avg_watt,calories,TrackUrl,year,MonthName,Day,Hour
233837710,Pfadfinden,51.505228,4.621793,52.65371,7.499795,tour,85.45,activities/264358619.gpx,259.03333333333336,238.76666666666668,29.519999313354493,43.900001525878906,17.299999237060547,19.793677213357352,21.473777135976544,653.7726776814463,232.21444239068808,264358619.gpx,5.099999904632568,115.76399993896484,1849.1551513671875,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/264358619.gpx,2014,Dec,Sun,11
2646716616,Radfahrt am Mittag,51.409937,7.374997,51.506592,7.50824,Dortmund-Umgebung,61.14,activities/2646716616.gpx,171.6,165.5,54.36000137329102,867.3159790039062,253.6999969482422,21.377866859702795,22.16581240558912,39.97780443463509,0.0032832558757134,2646716616.gpx,24.5,118.6304931640625,1313.470947265625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2646716616.gpx,2019,Aug,Sat,9
2649894364,Nachbesprechung mit Heiko,50.98822,7.115988,51.506585,7.508175,Dortmund-Umgebung,84.48,activities/2649894364.gpx,293.06666666666666,227.61666666666667,57.6,1150.07958984375,352.0,17.296030482256597,22.26941495203925,170.18130978224323,62.43914523141,2649894364.gpx,22.299999237060547,120.42638397216795,1833.79931640625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2649894364.gpx,2019,Aug,Sun,6
234536189,Ausrollen-2014,52.612997,4.619684,52.968291,5.106507,tour,159.87,activities/265146293.gpx,461.3,441.0,34.919999313354495,274.9930114746094,37.29999923706055,20.794363754606547,21.751564625850342,144.7513830576629,0.004934257927592,265146293.gpx,19.89999961853028,118.0199966430664,3481.932373046875,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/265146293.gpx,2014,Dec,Tue,7
235199456,EarlyBirdCycling,52.615261,4.621934,52.771292,4.700625,tour,50.71,activities/265927168.gpx,142.51666666666668,140.45,50.76000137329103,168.2570037841797,37.29999923706055,21.35051273242896,21.664677153791384,45.325133098174646,0.00406030801778,265927168.gpx,21.100000381469727,133.36500549316406,1253.111572265625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/265927168.gpx,2015,Jan,Thu,9
2667371623,Radfahrt am Mittag,51.279932,7.472788,51.506623,7.65224,Dortmund-Umgebung,87.06,activities/2667371623.gpx,248.38333333333333,240.4,58.320002746582034,1360.3818359375,486.2999877929688,21.03121749815473,21.72963355345258,75.37705331177834,0.0958852086075543,2667371623.gpx,30.0,119.65414428710938,1924.368896484375,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2667371623.gpx,2019,Aug,Sat,9
236688836,RundUmDortmund-Permanente,51.43073,7.322893,51.582371,7.601538,Dortmund-Umgebung,101.42,activities/268068163.gpx,297.4,286.5,45.71999931335449,697.2864990234375,249.3000030517578,20.46274377942165,21.24125654450262,72.35787541863436,0.005450418426949,268068163.gpx,12.899999618530272,120.62249755859376,2311.94384765625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/268068163.gpx,2015,Jan,Sun,10
237617589,AusflugImDunkeln,51.38013,7.473401,51.506613,7.687013,Dortmund-Umgebung,67.02,activities/269158589.gpx,219.15,192.05,50.03999862670898,593.9437866210938,286.3999938964844,18.34951445927447,20.93879767638636,57.77888723584386,0.0095084167656431,269158589.gpx,14.399999618530272,131.1438446044922,1684.9571533203125,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/269158589.gpx,2015,Jan,Tue,15
239655317,Sonntagsrunden,51.485305,7.476594,51.506559,7.508235,Niere-Phoenix-rides,62.93,activities/271462192.gpx,172.0,171.65,35.63999862670898,408.4147644042969,123.5999984741211,21.95539562136628,22.00016339571804,9.108495901483307,0.0030221420533453,271462192.gpx,12.0,126.7621841430664,1455.6568603515625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/271462192.gpx,2015,Jan,Sun,10
240629160,PhoenixAbendRunden,51.485306,7.476567,51.506592,7.508327,Niere-Phoenix-rides,62.96,activities/272540736.gpx,171.83333333333334,168.13333333333333,44.28000068664551,413.0814208984375,123.5999984741211,21.98597811590689,22.46980911726804,9.132092063050594,0.0197533324256556,272540736.gpx,11.300000190734863,130.9839324951172,1473.32373046875,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/272540736.gpx,2015,Jan,Tue,15
2735685962,Pfänder 2,47.50633,9.683965,47.58205,9.816827,tour,43.59,activities/2735685962.gpx,177.2,148.25,57.6,896.1796875,1026.9000244140625,14.760135969243793,17.642469435075885,36.79872282946401,0.2310911414862601,2735685962.gpx,27.700000762939453,101.5936279296875,1007.5979614257812,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2735685962.gpx,2019,Sep,Tue,8
242240770,Möhnesee,51.456115,7.49978,51.51066,8.170263,Dortmund-Umgebung,151.22,activities/274317655.gpx,435.01666666666665,419.4666666666666,50.76000137329103,887.777099609375,303.0,20.857131910654765,21.630324221233312,105.04157896663462,0.0169923320616863,274317655.gpx,14.899999618530272,123.32245635986328,3460.701416015625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/274317655.gpx,2015,Jan,Sat,8
2743504072,Pfänder 3,47.506108,9.68327,47.551842,9.802738,tour,27.59,activities/2743504072.gpx,116.1,98.73333333333332,56.5199993133545,738.042236328125,1026.9000244140625,14.259121648901807,16.76722508545746,28.11808630630188,4.584886817961268,2743504072.gpx,20.100000381469727,115.76962280273438,764.6884765625,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/2743504072.gpx,2019,Sep,Fri,9
243702730,PhönixAbendrunden,51.486376,7.476568,51.506606,7.523888,Niere-Phoenix-rides,62.44,activities/275950045.gpx,176.31666666666666,162.66666666666666,30.6,57.73976135253906,123.5999984741211,21.24857574558087,23.031627337346315,11.051929983556253,0.0220101437703303,275950045.gpx,23.0,129.9958953857422,1414.66845703125,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/275950045.gpx,2015,Jan,Tue,15
244622744,PhönixStandard,51.486826,7.476594,51.50666,7.508143,Niere-Phoenix-rides,57.78,activities/276960859.gpx,437.55,145.85,28.08000068664551,36.400001525878906,123.5,1.2220241697167666,23.76921494686321,8.779815901239605,0.0011787830197703,276960859.gpx,11.899999618530272,130.94618225097656,1277.6878662109375,https://raw.githubusercontent.com/ManfredAtGit/LeafletGpx/refs/heads/main/StravaViz/StravaGpxDir/276960859.gpx,2015,Jan,Tue,19
